lemma,pos,freq
application,VERB,2
tablet_computer,VERB,2
tablet_pc_,VERB,2
pedagogue,PREP,2
track,VERB,2
amplifier_,VERB,2
bassoon_,VERB,2
brake_,VERB,2
burned_out,ADJ,2
castanets_,VERB,2
clarinet,VERB,2
reed_instrument_,VERB,2
district,VERB,2
neighbourhood_,VERB,2
contrabassoon,VERB,2
double_bassoon_,VERB,2
drum_,VERB,2
empty,ADJ,2
energy_,VERB,2
flute,VERB,2
recorder,VERB,2
flute_,VERB,2
foam,VERB,2
french_horn,VERB,2
horn_,VERB,2
hurricane,VERB,2
keyboard,VERB,2
musical_instrument_,VERB,2
oboe_,VERB,2
organ,VERB,2
participation,VERB,2
piano_,VERB,2
piccolo_,VERB,2
reed,VERB,2
saxophone_,VERB,2
sit_ski_,VERB,2
snowplow,VERB,2
snowplough,VERB,2
spray,PRON,2
tambourine_,VERB,2
triangle__,VERB,2
tuba_,VERB,2
xylophone,VERB,2
vibraphone_,VERB,2
agreement_,VERB,2
explosive,VERB,2
conductor_,PREP,2
constipation_,VERB,2
being_,VERB,2
fruit_,VERB,2
hiss_-,PRON,2
stall,VERB,2
hurry,VERB,2
mane_,VERB,2
program,VERB,2
programme,VERB,2
protected,ADJ,2
stretch_-,PRON,2
subway,VERB,2
underground,VERB,2
tail_,VERB,2
train_station_,VERB,2
alcohol_addiction,VERB,2
binoculars,VERB,2
bruise,VERB,2
bump,VERB,2
good_day_,NOUN,2
good_evening_,NOUN,2
good_morning_,NOUN,2
good_night_,NOUN,2
message,VERB,2
smoking_addiction_,VERB,2
broadcast,PRON,2
cabin_,VERB,2
crew_,PREP,2
digital_memory,VERB,2
dvd,VERB,2
reminder_note,VERB,2
motion_,VERB,2
plug_in,PRON,2
connect_-,PRON,2
port_,VERB,2
power,VERB,2
receiver,VERB,2
lease,PRON,2
satellite_dish_,VERB,2
signal,VERB,2
signal_receiver_,VERB,2
wireless_connection,VERB,2
homosexual_,ADJ,2
disturbance,VERB,2
boring,ADJ,2
depressing,ADJ,2
desire,VERB,2
light_,ADJ,2
brake_-,PRON,2
advocacy,VERB,2
consideration,VERB,2
crown_,VERB,2
eternity,VERB,2
drop,VERB,2
spill,VERB,2
farness,VERB,2
remoteness,VERB,2
height,VERB,2
infiniteness,VERB,2
boundlessness,VERB,2
shortness_,VERB,2
permission,VERB,2
church_ruin,VERB,2
temple_ruin,VERB,2
wreckage__,VERB,2
ethanol,VERB,2
braid,PRON,2
coup,VERB,2
hijack,VERB,2
crime,VERB,2
wonder,VERB,2
gas_,VERB,2
hiccup_,VERB,2
hostage_,PREP,2
murderer,PREP,2
murder,VERB,2
slaughter,VERB,2
knock,PRON,2
land_-,PRON,2
mummy_,VERB,2
out_of_,NOUN,2
resign,PRON,2
quit_-,PRON,2
resignation_,VERB,2
abstract,VERB,2
take_off_-,PRON,2
cousin_,PREP,2
ram,VERB,2
finnish_,VERB,2
imprint,VERB,2
