lemma,pos,bci_av_id
carême,VERB,24178
cascade,VERB,22622
casier,VERB,24656
casque,VERB,14703
casque de cycliste,VERB,21618
casque de hockey,VERB,21617
casquette,VERB,21623
cassable,ADJ,12897
casse-croûte,VERB,17187
casse-noix,VERB,22566
casser,PRON,12896
casser en morceaux,PRON,17016
casserole,VERB,16229
casserole à pression,VERB,22586
casserole à vapeur,VERB,22586
casserole électrique,VERB,22580
cassette vidéo,VERB,13128
cassure,VERB,24852
cassé,ADJ,12907
castagnettes_,VERB,23830
castor,VERB,12646
catadioptre,VERB,22385
catamaran,VERB,22087
catastrophe,VERB,23846
catch,VERB,18283
causalité,VERB,23439
cause,VERB,13134
causer provoquer,PRON,13135
causé par,PRON,13136
cavalier,PREP,22091
cave,VERB,23029
caverne,VERB,13137
cd,VERB,16470
ce,NOUN,17720
ce mois-ci,VERB,24948
ce soir,VERB,17753
ceci,NOUN,17720
ceinture,VERB,12664
ceinture de sécurité,VERB,24255
cela,NOUN,17697
cellule,VERB,21540
cendres,VERB,12586
cendrier,VERB,12587
cent,VERB,13143
centime,VERB,13143
centime de couronne,VERB,24923
centre,VERB,15464
centre commercial,VERB,16961
centre communautaire,VERB,23446
centre d'accueil,VERB,23038
centre d'accueil de jour,VERB,13641
centre d'activités,VERB,23008
centre d'échange,VERB,16493
centre de documentation,VERB,16493
centre de jour,VERB,23055
centre de loisirs,VERB,23010
centre de planning familial,VERB,14148
centre de ressources,VERB,16493
centre de ressources bliss,VERB,12859
centre de revalidation,VERB,23682
centre de rééducation,VERB,23682
centre hospitalier,VERB,13361
cependant,NOUN,13094
cercle,VERB,13347
cercle de fans,VERB,24446
cercueil,VERB,21116
cerf,VERB,12381
cerf-volant,VERB,15155
cerises,VERB,13159
certain,ADJ,13146
cerveau,VERB,12893
cervidé,VERB,12381
ces,NOUN,17711
cessez-le-feu,VERB,24424
cette année-ci,VERB,17722
cette semaine-ci,VERB,17721
ceux-là,NOUN,17723
chaise,VERB,13148
chaise percée,VERB,24770
chaise roulante,VERB,18233
chaise roulante électrique,VERB,13920
chalet,VERB,13102
chaleur,VERB,14696
challah,VERB,13149
chalumeau,VERB,17277
chambre d'enfant,VERB,24841
chambre d'hôte,VERB,24465
chambre à coucher,VERB,12650
chameau,VERB,13110
champ,VERB,14173
champagne,VERB,22346
champignon,VERB,15678
chance,VERB,15402
chanceux,ADJ,15403
chandelle,VERB,13117
changement,VERB,13151
changer,PRON,13152
changer en,PRON,23453
chanson,VERB,17210
chanson enfantine,VERB,23835
chant de noël,VERB,24623
chant en  chœur,VERB,24754
chanter,PRON,16990
chanteur,PREP,16991
chapeau,VERB,14682
chaque,NOUN,13893
char,VERB,17504
charbon,VERB,13370
charité,VERB,13154
charité chrétienne,VERB,21305
charmant,ADJ,24054
charme,VERB,24053
charrette,VERB,13127
charrette à bras,VERB,23416
charrue,VERB,16206
chasse-neige,VERB,23951
chasser,PRON,23537
chasteté,VERB,12326
chat,VERB,12383
chaton,VERB,15156
chaud,ADJ,14900
